Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Fionn MacCool's,CASUAL DINING,3.6,10.0,"6110 Hwy 7, Vaughan, Toronto L4H 0R2","Bar Food, Irish, Canadian",60.0,Vaughan
Pho Mi 99,CASUAL DINING,3.1,7.0,"3255 Rutherford Road, Unit 5-6, Vaughan","Vietnamese, Thai, Asian",40.0,Vaughan
Cookie Crumble Cafe,CAFÉ,3.6,12.0,"10480 Islington Avenue, Vaughan",Cafe,20.0,Vaughan
Call Me Cupcake,BAKERY,3.5,10.0,"9929 Keele Street, Unit 106 A, Vaughan","Desserts, Cafe",13.0,Vaughan
Sultan Kabob,CASUAL DINING,3.5,16.0,"Norwood Plaza, 9671 Jane Street, Vaughan","Kebab, Afghan",25.0,Vaughan
Maple Sushi,CASUAL DINING,3.4,10.0,"2563 Major Mackenzie Drive, Unit 9, Vaughan","Sushi, Japanese, Asian",35.0,Vaughan
Bagel World,CAFÉ,3.3,16.0,"1440 Major Mackenzie Drive, Vaughan",Cafe,35.0,Vaughan
Nature's Emporium,QUICK BITES,3.5,6.0,"2535 Major Mackenzie Drive West, Vaughan L6A 1C6","Healthy Food, Vegetarian",43.0,Vaughan
Maple Dragon Chinese Restaurant,CASUAL DINING,3.3,15.0,"Mackenzie Glen Square, 2810 Major Mackenzie Drive, Vaughan","Chinese, Asian",40.0,Vaughan
Trimani Ristorante,CASUAL DINING,3.7,10.0,"8555 Jane Street, Vaughan",Italian,80.0,Vaughan
Mercatino,CASUAL DINING,3.8,13.0,"371 Bradwick Drive Unit 9, Concord","Italian, Pizza, Seafood",55.0,Vaughan
Quesada,QUICK BITES,2.9,14.0,"90 Edgeley Boulevard, Vaughan",Tex-Mex,25.0,Vaughan
Kabob Express,CASUAL DINING,3.9,14.0,"3255 Rutherford Road, Unit 2-3, Vaughan",Afghan,30.0,Vaughan
Chatime,BEVERAGE SHOP,3.4,8.0,"3175 Rutherford Road, Vaughan","Bubble Tea, Beverages, Taiwanese",15.0,Vaughan
