Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Extreme Pita,QUICK BITES,3.1,11.0,"Milton Common, 840 Main Street East, Milton","Fast Food, Mediterranean",25.0,Milton
Jay's Ice Cream & Sunshine's Gelato,DESSERT PARLOR,3.7,7.0,"146 Main Street East, Milton","Ice Cream, Desserts",25.0,Milton
Pho Mi 89,CASUAL DINING,3.0,4.0,"Derry Heights Plaza, 6941 Derry Road, Unit B03, Milton L9T 7H5","Vietnamese, Asian",35.0,Milton
Bread N Batter,BAKERY,3.4,6.0,"875 Main Street East, Milton",Bakery,15.0,Milton
Mary Brown's,QUICK BITES,3.0,6.0,"20 Market Drive, Milton L9T3H5",Fast Food,30.0,Milton
Lazeez Shawarma & Mediterranean Grill,CASUAL DINING,2.7,4.0,"598 Ontario Street South, Milton L9T 5E4",Mediterranean,25.0,Milton
Dairy Queen,DESSERT PARLOR,3.7,8.0,"500 Laurier Avenue, Milton","Ice Cream, Desserts, Fast Food",20.0,Milton
Taco Bell,QUICK BITES,2.9,7.0,"405 Martin Street, Milton","Fast Food, Mexican",20.0,Milton
Main Street Italian Bakery,QUICK BITES,,,"18 Thompson Road, Milton",Italian,25.0,Milton
Goodfellas Wood Oven Pizza,CASUAL DINING,,,"22 Ontario St S, Milton, ON L9T 2M6","Italian, Pizza, Sandwich",50.0,Milton
Restaurant at Mohawk Inn,CASUAL DINING,,,"9230 Guelph Line, Milton L0P","Steak, Bar Food, American",80.0,Milton
Sunrise Grill,CASUAL DINING,3.0,4.0,"327 Bronte Street South, Milton L9T4A4",Diner,30.0,Milton
Pizza Nova,QUICK BITES,3.4,7.0,"Milton Common, 890 Main Street East, Milton","Pizza, Fast Food",30.0,Milton
China Star,CASUAL DINING,3.5,5.0,"Derry Heights Plaza, 6921 Derry Road, Milton","Chinese, Asian",45.0,Milton
Capt'n Fry's,QUICK BITES,,,57 Steeles Avenue West,Fast Food,20.0,Milton
Yamato,QUICK BITES,3.3,6.0,"Milton Mall, 55 Ontario Street South, Milton","Japanese, Asian",25.0,Milton
Yogurty's,DESSERT PARLOR,3.7,7.0,"147 Main Street East, Milton","Frozen Yogurt, Desserts",15.0,Milton
Saucy,CASUAL DINING,3.1,5.0,"243 Main Street East, Milton",Italian,,Milton
Mo-Bay Jerk - A Taste Of The Caribbean,CASUAL DINING,,,"173 Main Street E, Milton L9T 1N7",Caribbean,25.0,Milton
Super Deal,QUICK BITES,3.8,4.0,"15 Martin Street, Milton","Pizza, Fast Food",25.0,Milton
Baskin Robbins,DESSERT PARLOR,3.7,6.0,"Milton Common, 850 Main Street East, Milton","Ice Cream, Desserts",15.0,Milton
Allison's at the Best,CASUAL DINING,3.3,4.0,"161 Chisholm Drive, Milton","Diner, Canadian",80.0,Milton
