,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
74,The Keg Steakhouse + Bar - Estate Drive,CASUAL DINING,4.0,51.0,60 Estate Drive,Steakhousehouse,100.0,Scarborough
75,La Sani Grill,CASUAL DINING,3.3,50.0,2058 Ellesmere Road,Indian,30.0,Scarborough
76,Silver Spoon,QUICK BITES,3.0,40.0,4800 Sheppard Avenue E,Pakistani,20.0,Scarborough
77,Chiu Chow Boy,CASUAL DINING,3.7,47.0,3261 Kennedy Road,Chinese,40.0,Scarborough
78,Spicy Dragon,CASUAL DINING,4.1,47.0,1060 Kennedy Road M1P,Chinese,25.0,Scarborough
79,The Nilgiris,CASUAL DINING,3.6,36.0,3021 Markham Road,South Indian,25.0,Scarborough
80,Bong Lua,CASUAL DINING,3.9,28.0,2572 Birchmount Road,Vietnamese,35.0,Scarborough
81,Francesca Bakery,BAKERY,4.1,44.0,2 Invergordon Avenue,Bakery,20.0,Scarborough
82,Very Fair Seafood Cuisine,CASUAL DINING,3.2,28.0,17 Milliken Boulevard,Chinese,35.0,Scarborough
83,Green Bamboo Casserole Rice,CASUAL DINING,3.6,46.0,4221 Sheppard Avenue East,Chinese,40.0,Scarborough
84,Milestones,CASUAL DINING,3.0,45.0,300 Borough Dr,BBQ,65.0,Scarborough
85,Very Fair Chinese Restaurant,CASUAL DINING,3.6,29.0,4002 Sheppard Avenue East,Chinese,40.0,Scarborough
86,Mandarin Restaurant - Scarborough,CASUAL DINING,3.7,59.0,2206 Eglinton Avenue East,Chinese,60.0,Scarborough
87,Vietnam Noodle Star,CASUAL DINING,3.9,47.0,4188 Finch Avenue East,Vietnamese,20.0,Scarborough
88,India 360,CASUAL DINING,3.9,41.0,2761 Markham Road,Indian,45.0,Scarborough
89,Go For Tea,CASUAL DINING,3.7,53.0,3700 Midland Avenue,Cafe,40.0,Scarborough
90,Pak Centre,CASUAL DINING,3.8,50.0,2683 Lawrence Avenue East,Indian,30.0,Scarborough
91,Esquire Restaurant,CASUAL DINING,4.1,61.0,2581 Victoria Park Avenue,Mediterranean,,Scarborough
92,Pho Saigon,CASUAL DINING,3.6,59.0,1921 Eglinton Avenue East,Vietnamese,30.0,Scarborough
93,The Boil Bar,CASUAL DINING,3.1,11.0,633 Silver Star Boulevard,Seafood,,Scarborough
94,Pho Vietnam,CASUAL DINING,3.6,59.0,1280 Kennedy Road,Vietnamese,35.0,Scarborough
95,Phoenix Pan Asian Cuisine,CASUAL DINING,3.9,36.0,3730 Kingston Road,Chinese,30.0,Scarborough
96,Kub Khao,CASUAL DINING,3.4,19.0,3561 Sheppard Avenue,Thai,,Scarborough
97,Mr. Congee,CASUAL DINING,3.2,33.0,2900 Warden Avenue,Chinese,30.0,Scarborough
98,Phoenix Restaurant,CASUAL DINING,3.0,17.0,2900 Warden Avenue,Chinese,40.0,Scarborough
99,The Buddhist Vegetarian Kitchen,CASUAL DINING,3.4,27.0,3290 Midland Avenue,Chinese,25.0,Scarborough
100,Armenian Kitchen,CASUAL DINING,3.2,48.0,1646 Victoria Park Avenue,Middle Eastern,30.0,Scarborough
101,Scaddabush,CASUAL DINING,3.4,21.0,572 Progress Avenue,Italian,25.0,Scarborough
102,Kenny's Noodles,CASUAL DINING,3.8,34.0,4733 Steeles Avenue E,Chinese,,Scarborough
103,Wexford Restaurant,CASUAL DINING,3.7,53.0,2072 Lawrence Avenue E,American,30.0,Scarborough
104,Lotus Garden,CASUAL DINING,3.9,35.0,3460 Danforth Avenue,Chinese,35.0,Scarborough
105,St. Andrews Fish & Chips,CASUAL DINING,3.9,45.0,1589 Ellesmere Road,British,30.0,Scarborough
106,Hakka Legend,CASUAL DINING,3.4,24.0,2030 Ellesmere Road,Indian,35.0,Scarborough
107,Kim Kim,CASUAL DINING,3.5,42.0,1188 Kennedy Road,Chinese,30.0,Scarborough
108,Fahmee Bakery,QUICK BITES,3.9,30.0,119 Montezuma Trail,Caribbean,15.0,Scarborough
109,Little Bavaria,CASUAL DINING,3.5,43.0,3222 Eglinton Avenue East,German,60.0,Scarborough
110,Nova Ristorante,CASUAL DINING,3.7,19.0,2272 Lawrence Avenue East,Italian,50.0,Scarborough
111,Canbe Foods,CASUAL DINING,3.9,30.0,1760 Ellesmere Road,Indian,30.0,Scarborough
112,South Asia Malaysian Cuisine,CASUAL DINING,3.3,35.0,3700 Midland Avenue,Malaysian,30.0,Scarborough
113,China Cottage,CASUAL DINING,3.5,36.0,5985 Steeles Avenue E,Chinese,30.0,Scarborough
114,Chung Moi,CASUAL DINING,3.9,30.0,2412 Eglinton Avenue E,Chinese,40.0,Scarborough
115,East Side Mario's Scarborough,CASUAL DINING,2.9,36.0,12 Lebovic Ave,Italian,40.0,Scarborough
116,Jeon Ju Hyang,CASUAL DINING,3.6,24.0,325 Bamburgh Circle,Korean,40.0,Scarborough
117,3.4,Other,,,"Finch Avenue East, Scarborough",Sri Lankan,,Scarborough
118,Gourmet Schnitzel House,CASUAL DINING,3.9,29.0,2256 Kingston Road,Russian,30.0,Scarborough
119,Taste Of Greek Cuisine,CASUAL DINING,3.4,14.0,3541 St. Clair Avenue East,Mediterranean,50.0,Scarborough
120,Yang's BBQ,CASUAL DINING,3.3,11.0,4186 Finch Avenue East,BBQ,30.0,Scarborough
121,Vindaloo,CASUAL DINING,3.9,33.0,2891 Kingston Road,Indian,45.0,Scarborough
122,Landmark Seafood Cuisine,CASUAL DINING,3.6,15.0,3601 Victoria Park Avenue,Chinese,60.0,Scarborough
123,Nguyen Huong,QUICK BITES,3.9,33.0,5661 Steeles Avenue East,Vietnamese,10.0,Scarborough
