Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Pronto Cafe,CAFÉ,,,790 Bay Street,"Italian, Cafe",,Discovery District
Pizza Pizza,QUICK BITES,,,"University of Toronto - Medical Sciences Building Cafeteria, 1 King's College Circle, Toronto","Pizza, Fast Food",25.0,Discovery District
Veda,CASUAL DINING,,,"University of Toronto - Koffler House, 569 Spadina Crescent, Toronto M5S2J7","Indian, Healthy Food",35.0,Discovery District
Diabolos' Coffee Bar,CAFÉ,,,"University of Toronto, 15 King's College Circle, Toronto M5S",Cafe,20.0,Discovery District
Booster Juice,QUICK BITES,,,"257 College Street, Toronto M5T 1R5","Juices, Beverages, Healthy Food",20.0,Discovery District
Mustache Burger,Other,,,Location Varies,Burger,,Discovery District
Tim Hortons,CAFÉ,,,555 University Avenue M5G1X8,Cafe,20.0,Discovery District
GSU Pub,BAR,,,"University of Toronto - Graduate Student Union, 16 Bancroft Avenue, Toronto",Drinks Only,30.0,Discovery District
Anoush,QUICK BITES,,,"Mars Discovery District, Food Court, 101 College Street, Toronto",Middle Eastern,25.0,Discovery District
Fat Bastard Burrito,QUICK BITES,,,"University of Toronto, 187 College street, Toronto M3T 1P7","Mexican, Fast Food",25.0,Discovery District
Teriyaki Experience,QUICK BITES,,,"Mars Discovery District, Food Court, 101 College Street, Toronto",Japanese,20.0,Discovery District
Freshii,QUICK BITES,,,"525 University Avenue, Toronto",Healthy Food,30.0,Discovery District
Druxy's Famous Deli,QUICK BITES,,,"123 Edward Street, Toronto, CA M5G 1E2","Fast Food, Sandwich",25.0,Discovery District
The Cube Café,CAFÉ,,,"University of Toronto - Bahen Centre for Information Technology, 40 St. George Street, Toronto M5S2E4",Cafe,20.0,Discovery District
Hard Hat Café,CAFÉ,,,"University of Toronto - Sandford Fleming Building, 10 King's College Road, Toronto M5S3G4",Cafe,20.0,Discovery District
Java Joe's,CAFÉ,,,"180 Dundas Street West, Toronto",Cafe,15.0,Discovery District
Sushi by Bento Nouveau,QUICK BITES,,,"Mars Discovery District, Food Court, 101 College Street, Toronto M5G1L7","Sushi, Fast Food",25.0,Discovery District
Sultan's,Other,,,"University of Toronto - John P. Robarts Library, 130 St. George Street, Toronto",Lebanese,25.0,Discovery District
Bene Pasta,QUICK BITES,,,"University of Toronto - John P. Robarts Library, 130 St. George Street, Toronto M5S1A5",Italian,20.0,Discovery District
Shish Kebab Grill,QUICK BITES,,,112 Dundas Street West,Mediterranean,25.0,Discovery District
POD Express,QUICK BITES,,,"University of Toronto - McLennan Physical Laboratories, 255 Huron Street, Toronto M5S3J1",Cafe,20.0,Discovery District
Some Time Seafood Chinese Restaurant,CASUAL DINING,,,"41 - 43 Baldwin Street, Toronto M5T 1Y9","Seafood, Chinese, BBQ",25.0,Discovery District
Gift Shop,BAR,,,89-B Ossington Avenue,American,40.0,Discovery District
Second Cup Coffee Co. featuring Pinkberry Frozen Yogurt,Other,,,100 Street. George Street,Coffee and Tea,15.0,Discovery District
Second Cup Coffee Co.,Other,,,144 College Street,Coffee and Tea,15.0,Discovery District
Second Cup Coffee Co.,Other,,,214 College Street.,Coffee and Tea,15.0,Discovery District
Second Cup Coffee Co.,Other,,,119 Street. George Street,Coffee and Tea,15.0,Discovery District
