,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
22,Sukho Thai,CASUAL DINING,4.6,284.0,52 Wellington Street East,Thai,50.0,Toronto
23,Woody's Burgers,CASUAL DINING,4.6,214.0,3795 Lake Shore Boulevard West,American,40.0,Etobicoke
24,Banh Mi Boys,QUICK BITES,4.6,202.0,399 Yonge Street,American,25.0,Toronto
25,Sushi Kaji,CASUAL DINING,4.6,184.0,860 The Queensway,Japanese,160.0,Etobicoke
26,Ed's Real Scoop,DESSERT PARLOR,4.6,174.0,2224 Queen Street East,Desserts,20.0,Toronto
27,Le Gourmand,CAFÉ,4.6,172.0,152 Spadina Avenue,Cafe,25.0,Toronto
28,Pastel,CAFÉ,4.6,156.0,5417 Yonge Street,Cafe,35.0,North York
29,Panagio's,CASUAL DINING,4.6,121.0,1928 McCowan Road,American,35.0,Scarborough
30,Roti Cuisine Of India,CASUAL DINING,4.6,116.0,308 Dupont Street,Indian,40.0,Toronto
31,Ed's Real Scoop,DESSERT PARLOR,4.6,114.0,920 Queen Street East,Desserts,15.0,Toronto
32,Dairy Cream,DESSERT PARLOR,4.6,113.0,715 Lakeshore Road E,Desserts,15.0,Mississauga
33,Buddha's Vegetarian Restaurant,CASUAL DINING,4.6,95.0,666 Dundas Street West,Chinese,25.0,Toronto
34,Vi Vetha Bistro,CASUAL DINING,4.6,94.0,2485 Queen Street East,Italian,60.0,Toronto
35,One2Snacks,QUICK BITES,4.6,74.0,8 Glen Watford Drive,Malaysian,20.0,Scarborough
36,C&C Dubbs Hamburgers,QUICK BITES,4.6,74.0,1706 Dundas Street E,Diner,25.0,Mississauga
37,Pasquale's Trattoria,CASUAL DINING,4.6,72.0,50 Lakeshore Road West,Italian,85.0,Oakville
38,D Hot Shoppe,QUICK BITES,4.6,68.0,4155 Fairview Street,Caribbean,20.0,Burlington
39,Auberge du Pommier,FINE DINING,4.5,644.0,4150 Yonge St.,French,150.0,North York
40,Burrito Boyz,QUICK BITES,4.5,639.0,224 Adelaide Street West,Mexican,25.0,Toronto
