Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Constantinople Bakery & Coffee,CAFÉ,3.1,4.0,"536 Queen Street West, Toronto M5V 2B5",Cafe,,Fashion District
b.good,QUICK BITES,,,"573 Queen Street West, Toronto",Healthy Food,35.0,Fashion District
Poutini's House of Poutine,QUICK BITES,2.9,13.0,617 King Street West M5V 1M5,Canadian,25.0,Fashion District
Mini Bar,QUICK BITES,3.7,14.0,"116 Spadina Avenue, Toronto M5V",Fast Food,15.0,Fashion District
Starbucks,CAFÉ,2.9,11.0,"438 Richmond Street West, Toronto",Cafe,20.0,Fashion District
Chubby's Jamaican Kitchen,CASUAL DINING,3.6,8.0,"104 Portland St, Toronto, ON M5V 2N2",Jamaican,25.0,Fashion District
Kupfert & Kim,CASUAL DINING,3.4,6.0,"140 Spadina Avenue, Toronto","Healthy Food, Vegetarian",25.0,Fashion District
Hibachi Teppanyaki & Bar,CASUAL DINING,,,"550 Wellington Street West, Toronto M5V 2V5","Japanese, Sushi, Steak",30.0,Fashion District
2.9,Other,,,Fashion District,"Japanese, Sushi, Asian Fusion",25.0,Fashion District
Mira,CASUAL DINING,3.4,5.0,420A Wellington Street West,Peruvian,40.0,Fashion District
Bovine Sex Club,Other,3.2,17.0,"542 Queen Street West, Toronto",Drinks Only,50.0,Fashion District
The Cloak Bar,BAR,3.2,5.0,488 Wellington Street West,Bar Food,80.0,Fashion District
Thai One On,CASUAL DINING,2.9,11.0,"500 Queen Street West, Toronto","Thai, Asian",45.0,Fashion District
Food Palace Gelato,DESSERT PARLOR,3.3,5.0,"217 Bathurst Street, Toronto",Ice Cream,15.0,Fashion District
Atlas Espresso Bar,CAFÉ,3.3,9.0,"550 Front Street West, Unit 59, Toronto M5V",Cafe,20.0,Fashion District
My Roti Place,QUICK BITES,3.1,10.0,"406 Queen St W, Toronto, ON M5V 2A6",Indian,15.0,Fashion District
Early Mercy,BAR,,,540 King Street West M5V 1M3,Bar Food,1240.0,Fashion District
Pita Choice,QUICK BITES,3.7,16.0,"744 King Street West, Toronto M5V","Fast Food, Mediterranean",25.0,Fashion District
King Chef,CASUAL DINING,3.5,15.0,"740 King Street West, Toronto M5V","Chinese, Asian",45.0,Fashion District
Forget Me Not Cafe,CAFÉ,3.3,4.0,506 Adelaide Street West M5S 2P9,Coffee and Tea,,Fashion District
Pizza Pizza,QUICK BITES,3.0,15.0,"540 King Street West, Toronto","Pizza, Fast Food",25.0,Fashion District
The Hoxton,Other,2.3,10.0,"69 Bathurst Street, Toronto M5V 2P6",Drinks Only,50.0,Fashion District
2 Cats,Other,3.3,9.0,"569 King Street West, Toronto M5M 1M1",Drinks Only,50.0,Fashion District
Lawai'a Poké,CASUAL DINING,3.6,4.0,"700 King Street W, Toronto M5V 2Y6",Hawaiian,25.0,Fashion District
EFS,Other,3.2,8.0,"647 King Street West, Toronto M5V 1M5","BBQ, Bar Food",40.0,Fashion District
Lobby Lounge - Thompson Toronto Hotel,Other,2.6,5.0,"Thompson Toronto Hotel, 550 Wellington Street, Toronto M5V",Bar Food,65.0,Fashion District
Sara,FINE DINING,3.4,4.0,"98 Portland St, Toronto","Fusion, Japanese",80.0,Fashion District
Bootleg Smokehouse,CASUAL DINING,,,"64 Spadina Avenue, Fashion District, Toronto","BBQ, American",35.0,Fashion District
ACE,Other,3.4,11.0,"425 Adelaide Street West, Toronto M5V 2B5",Drinks Only,45.0,Fashion District
Locals Only,BAR,,,"589 King Street W, Toronto M5V 1M5","Drinks Only, Bar Food",35.0,Fashion District
Uniun Nightclub,Other,3.2,4.0,"473 Adelaide Street West, Toronto M5V 1T1",Drinks Only,80.0,Fashion District
Ristorante Rosina,CASUAL DINING,,,"740 King St. West, Toronto, ON M5V 1N3",Italian,50.0,Fashion District
Everleigh,Other,3.2,5.0,"580 King Street West, Toronto",Bar Food,,Fashion District
Barfish,BAR,,,"668 King Street West, Toronto M5V 1M7","Bar Food, Japanese",60.0,Fashion District
MARBL,CASUAL DINING,3.3,7.0,"455 King St W, Fashion District, Toronto",American,80.0,Fashion District
Escobar,BAR,,,"606 King Street West, Inside Valdez, Toronto",Drinks Only,50.0,Fashion District
Brant Street Cafe,QUICK BITES,,,"425 Adelaide Street West, Toronto","Canadian, Breakfast",,Fashion District
Tosto Quickfire Pizza Pasta,CASUAL DINING,,,"431 Richmond St W, Toronto, ON M5V 1X9",Italian,30.0,Fashion District
Druxy's Famous Deli,Other,,,"419 King Street West, Toronto","Fast Food, Sandwich",25.0,Fashion District
Greek & Co,FAST CASUAL,,,"529 King St W, Toronto, ON M5V 1K4",Greek,20.0,Fashion District
Petty Cash,BAR,,,"487 Adelaide St W, Toronto, ON M5V 1T4",Canadian,30.0,Fashion District
Jimmy's Coffee,CAFÉ,,,"100 Portland Street, Fashion District, Toronto, M5V 2N2",Cafe,20.0,Fashion District
Fashion District,Other,,,CUISINES:,"Lebanese, Mediterranean, Cafe",25.0,Fashion District
Fit for Life,QUICK BITES,,,"519 King Street West, Toronto","Healthy Food, Fast Food",25.0,Fashion District
Craft Kitchen,CAFÉ,,,"410 Adelaide Street West, Toronto M5V 1S8",Canadian,25.0,Fashion District
Country Style,CAFÉ,,,"38 Spadina Avenue, Toronto",Cafe,20.0,Fashion District
Ganto Sushi,CASUAL DINING,,,565 King Street West,"Sushi, Japanese",35.0,Fashion District
Bar Altura,BAR,,,"571 Queen Street W, Toronto, ON M5V 2B6",Italian,40.0,Fashion District
The Foundry Gastro Tap House,CASUAL DINING,,,"487 Adelaide Street West, Toronto M5V 1T4",Bar Food,60.0,Fashion District
Rosina Toronto,CASUAL DINING,,,"740A King Street W, Toronto, ON M5V 1N3",Italian,40.0,Fashion District
Saisons Restaurant & Catering,QUICK BITES,,,"555 Richmond Street West, Toronto",Cafe,20.0,Fashion District
Same Nightclub,Other,,,"510 King Street West, Fort York",Drinks Only,,Fashion District
Lost & Found,Other,,,"577 King Street West, Toronto M5V",Drinks Only,70.0,Fashion District
Tattoo Queen West,Other,,,"567 Queen Street West, Toronto M5V 2B6",Drinks Only,20.0,Fashion District
"Bathurst Street, Fashion District",Other,,,CUISINES:,Diner,43.0,Fashion District
Drom Taberna,BAR,,,"458 Queen Street W, Fashion District, Toronto","Eastern European, Polish, Russian, Bar Food",60.0,Fashion District
Freshslice Pizza,CASUAL DINING,,,"744 King St W, Fashion District, Toronto","Pizza, Fast Food",,Fashion District
Ganto Sushi,CASUAL DINING,,,565 King Street West M5V 1M1,"Japanese, Sushi",,Fashion District
Souvlaki Kalamaki,CASUAL DINING,,,1405 Queen Street West,Greek,,Fashion District
