Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Starbucks,CAFÉ,,,"1300 Kingston Road, Pickering",Cafe,20.0,Pickering
Baba Jon Pizza & Shawarma,QUICK BITES,3.5,5.0,"2200 Brock Road, Pickering","Pizza, Fast Food, Middle Eastern",25.0,Pickering
Wendy's,FAST FOOD,,,742 Kingston Road,"Fast Food, Burger",20.0,Pickering
Silver Spoon,QUICK BITES,,,"2200 Brock Road, Pickering L1V 2P8","Pakistani, Indian",20.0,Pickering
Manchu Wok,QUICK BITES,2.8,4.0,"Pickering Town Centre, 1355 Kingston Road, Pickering","Fast Food, Chinese, Asian",25.0,Pickering
Pizza Pizza,QUICK BITES,3.4,7.0,"1450 Kingston Road, Pickering","Pizza, Fast Food",25.0,Pickering
South St. Burger Co.,QUICK BITES,,,"1105E Kingston Road Unit 12, Pickering L1V 1B5","Fast Food, Burger",25.0,Pickering
Edo Japan,QUICK BITES,3.5,4.0,"Pickering Town Centre, 1355 Kingston Road, Pickering",Japanese,20.0,Pickering
Burger King,FAST FOOD,3.2,5.0,650 Kingston Road,"Fast Food, Burger",20.0,Pickering
Dairy Queen Grill & Chill,FAST FOOD,,,1-1099 Kingston Road,"Ice Cream, Desserts, Fast Food",20.0,Pickering
Second Cup Coffee Co.,CAFÉ,,,1550 Kingston Road,"Cafe, Coffee and Tea, Frozen Yogurt",10.0,Pickering
Kathryn's Bar & Grill,CASUAL DINING,,,"376 Kingston Road, Unit 14, Pickering","Seafood, American",40.0,Pickering
Open Studio Art Cafe Espresso Bar,CAFÉ,,,"617 Liverpool road, Pickering",Cafe,15.0,Pickering
Booster Juice,BEVERAGE SHOP,,,"Steeple Hill Shopping Centre, 650 Kingston Road, Pickering","Juices, Beverages, Healthy Food",20.0,Pickering
Domino's,QUICK BITES,,,"1235 Bayly Street, Pickering","Fast Food, Pizza",25.0,Pickering
Pizza Nova,QUICK BITES,,,"The Hub, 1360 Kingston Road, Unit 11, Pickering","Pizza, Fast Food",30.0,Pickering
Grand Dad's,DESSERT PARLOR,,,"597 Liverpool Road, Pickering","Ice Cream, Desserts",15.0,Pickering
Kernels Popcorn,QUICK BITES,,,"Pickering Town Centre, 1355 Kingston Road, Pickering",Fast Food,15.0,Pickering
Pete's Gourmet Burgers,QUICK BITES,,,"1848 Liverpool Road, Pickering","Burger, Fast Food",25.0,Pickering
Little Caesars,QUICK BITES,,,"Steeple Hill Shopping Centre, 570 Kingston Road, Pickering","Pizza, Fast Food",25.0,Pickering
Serendipity,BAKERY,,,"1295 Wharf Street, Unit 10, Pickering","Desserts, Bakery, Cafe",20.0,Pickering
Villa Madina,Other,,,"Pickering Town Centre, 1355 Kingston Road, Pickering",Mediterranean,25.0,Pickering
Pita Pit,QUICK BITES,,,"1105 Kingston Road, Building E, Pickering",Healthy Food,25.0,Pickering
KFC,QUICK BITES,,,"Pickering Town Centre, 1355 Kingston Road, Pickering",Fast Food,25.0,Pickering
Extreme Pita,QUICK BITES,,,"Pickering Town Centre, 1355 Kingston Road, Pickering","Fast Food, Mediterranean",25.0,Pickering
Orange Julius,BEVERAGE SHOP,,,"Pickering Town Centre, 1355 Kingston Road, Pickering",Beverages,25.0,Pickering
But 'N' Ben,BAKERY,,,"613 Kingston Road, Pickering",Bakery,15.0,Pickering
West Shore Bar & Grill,CASUAL DINING,,,"877 Bayly Street, Pickering",Bar Food,60.0,Pickering
Ma Yvé Grill,QUICK BITES,,,"1980 Rosefield Road, Pickering","Fast Food, African",25.0,Pickering
Mrs. Fields,DESSERT PARLOR,,,"Pickering Town Centre, 1355 Kingston Road, Pickering",Desserts,15.0,Pickering
A & W,QUICK BITES,,,"Pickering Town Centre, 1355 Kingston Road, Pickering","Burger, Fast Food",25.0,Pickering
Mahipar Kabab,CASUAL DINING,,,"1450 Kingston Road, Pickering","Kebab, Middle Eastern, Afghan",30.0,Pickering
Mary Brown's,QUICK BITES,,,"780 Kingston Road, Pickering",Fast Food,30.0,Pickering
Sunset Grill,CASUAL DINING,,,"1105 Kingston Road, Pickering","Diner, Breakfast",30.0,Pickering
Beryl's Pepper Pot,CASUAL DINING,,,"1101B Kingston Road, Unit 3, Toronto L1V 1B5","Caribbean, Jamaican",25.0,Pickering
Coco Cake Co,DESSERT PARLOR,,,"774 Liverpool Road South, Pickering",Desserts,15.0,Pickering
Hy Tea,BEVERAGE SHOP,,,"1295 Wharf Street, Pickering",Beverages,25.0,Pickering
Pizza Hut,QUICK BITES,,,"1794 Liverpool Road, Pickering","Pizza, Fast Food",25.0,Pickering
Square Boy Pizza,QUICK BITES,,,"713 Krosno Boulevard, Pickering L1W 1G4",Pizza,30.0,Pickering
Country Style,CAFÉ,,,"Pickering Town Centre, 1355 Kingston Road, Pickering",Cafe,20.0,Pickering
Rocky Mountain Chocolate Factory,DESSERT PARLOR,,,"Pickering Town Centre, 1355 Kingston Road, Pickering",Desserts,15.0,Pickering
Mr. Sub,QUICK BITES,,,"1794 Liverpool Road, Pickering",Fast Food,25.0,Pickering
Basir Azizi Bakery,BAKERY,,,"Brockington Plaza, 1725 Kingston Road, Pickering, Pickering, GTA",Bakery,12.0,Pickering
Wow! Wing House,CASUAL DINING,,,"Rose Finch Plaza, 550 Finch Avenue, Unit 4A, Pickering","American, Bar Food",45.0,Pickering
Tim Hortons,CAFÉ,,,1709 Kingston Road,"American, Donuts, Desserts",20.0,Pickering
Subway,QUICK BITES,,,"SmartCentres Pickering, 1899 Brock Road, Pickering",Fast Food,20.0,Pickering
Laura Secord,DESSERT PARLOR,,,"Pickering Town Centre, 1355 Kingston Road, Pickering",Desserts,15.0,Pickering
New York Fries,QUICK BITES,,,"1355 Kingston Road Unit 16, Pickering ON L1V 1B8",Fast Food,15.0,Pickering
Bakery & Flowers,DESSERT PARLOR,,,"375 Kingston Road, Unit 8, Pickering","Bakery, Desserts",10.0,Pickering
Flavors Cafe & Eatery,QUICK BITES,,,"2200 Brock Road, Pickering","American, Cafe, Fast Food",20.0,Pickering
Pita Zone,QUICK BITES,,,"1550 Kingston Road, Pickering","Middle Eastern, Fast Food",20.0,Pickering
Tudor Arms Pub,BAR,,,"Amberlea Shopping Centre, 1822 Whites Road, Pickering",Bar Food,50.0,Pickering
Taco Del Mar,QUICK BITES,,,"SmartCentres Pickering, 1899 Brock Road, Pickering","Mexican, Fast Food",25.0,Pickering
Sweet Emma’s Cakery,BAKERY,,,"1105 Kingston Rd unit 9, Pickering, ON L1V 1B5",Bakery,15.0,Pickering
David's Tea,BEVERAGE SHOP,,,"Pickering Town Centre, 1355 Kingston Road, Pickering","Tea, Beverages",15.0,Pickering
Jukebox Live,BAR,,,"1211 Kingston Road, Pickering",Bar Food,80.0,Pickering
Free Topping Pizza,QUICK BITES,,,"376 Kingston Road, Pickering","Pizza, Fast Food",25.0,Pickering
Pappa Marshall's Family Restaurant,CASUAL DINING,,,"719 Krosno Boulevard, Pickering","Fish and Chips, Canadian",,Pickering
