,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,District
193,KaKa All You Can Eat,CASUAL DINING,,,655 Bay Street Suite 5,Japanese,45.0,Downtown Yonge
194,Tandori,QUICK BITES,2.6,5.0,777 Bay Street,Indian,35.0,Downtown Yonge
195,China King,QUICK BITES,2.6,5.0,444 Yonge Street,Chinese,20.0,Downtown Yonge
196,City Zen Sushi,QUICK BITES,2.5,6.0,14 Queen Street West,Japanese,25.0,Downtown Yonge
197,Rolltation,CAFÉ,,,758 Yonge St,Asian,20.0,Downtown Yonge
198,Caribbean Queen,Other,2.8,5.0,10 Dundas East,Caribbean,20.0,Downtown Yonge
199,Cultures,QUICK BITES,3.6,4.0,777 Bay Street,Healthy Food,25.0,Downtown Yonge
200,Thai Bowl,QUICK BITES,2.6,5.0,444 Yonge Street,Thai,20.0,Downtown Yonge
201,Labothéry Inc,CAFÉ,,,717 Bay Street Unit D,Cafe,20.0,Downtown Yonge
202,The Bagel Stop,CAFÉ,,,686 Bay Street,Cafe,15.0,Downtown Yonge
203,Bar+ Karaoke Lounge,BAR,,,360 Yonge Street,Bar Food,50.0,Downtown Yonge
204,Ramen Isshin,CASUAL DINING,,,111 Richmond Street West,Japanese,45.0,Downtown Yonge
205,Ooshee Mediterranean Oven,FAST CASUAL,,,9 Charles St W,Lebanese,20.0,Downtown Yonge
206,Zeytouna Restaurant,CASUAL DINING,,,171 Dundas Street W,Mediterranean,25.0,Downtown Yonge
207,Prince Edward's Fries,Other,,,Location Varies,Fast Food,,Downtown Yonge
208,Argila Cafe,CAFÉ,,,361 Yonge Street,Cafe,25.0,Downtown Yonge
209,Bubblicious,BEVERAGE SHOP,,,372 Yonge Street,Beverages,15.0,Downtown Yonge
210,Freshwest Grill,QUICK BITES,,,660 Bay Street M5G,American,20.0,Downtown Yonge
211,Striker,BAR,,,31 St. Joseph Street,Bar Food,30.0,Downtown Yonge
212,Fast Fresh Foods,QUICK BITES,,,660 Bay Street,Healthy Food,25.0,Downtown Yonge
213,Krispy kreme,QUICK BITES,,,164 McCaul Street,Fast Food,20.0,Downtown Yonge
214,Foundation Bar,BAR,,,14 Queen Street,Bar Food,30.0,Downtown Yonge
215,David's Tea,CAFÉ,,,220 Yonge Street,Cafe,15.0,Downtown Yonge
216,Druxy's Famous Deli,QUICK BITES,,,777 Bay Street,Fast Food,25.0,Downtown Yonge
217,The Good Son Restaurant,CASUAL DINING,,,111 Richmond St W,American,60.0,Downtown Yonge
218,GP8 Juice Bar,BEVERAGE SHOP,,,5 Isabella Street,Beverages,15.0,Downtown Yonge
219,Dagu Rice Noodles,CASUAL DINING,,,115 Dundas St W,Chinese,25.0,Downtown Yonge
220,Bubble Tease,BEVERAGE SHOP,,,570 Bay Street,Bubble Cafe,15.0,Downtown Yonge
221,Teavana,BEVERAGE SHOP,,,220 Yonge Street,Cafe,20.0,Downtown Yonge
222,Kernels Popcorn,QUICK BITES,,,220 Yonge Street,Fast Food,15.0,Downtown Yonge
223,Nordstrom Ebar Artisan Coffee,CAFÉ,,,260 Yonge Street,Cafe,10.0,Downtown Yonge
224,Tiffany Cafe,CAFÉ,,,648 Yonge Street,Cafe,20.0,Downtown Yonge
225,Poptopia / Yoyo's,DESSERT PARLOR,,,10 Dundas East,Desserts,15.0,Downtown Yonge
226,Tasty's Caribbean Cuisine,QUICK BITES,,,405 Spadina Avenue,Caribbean,15.0,Downtown Yonge
227,Resto Boemo,FAST CASUAL,,,111 Richmond St W,American,40.0,Downtown Yonge
228,Hibiscus,CAFÉ,,,111 Richmond St W,Cafe,30.0,Downtown Yonge
229,Cherry Street Bar-B-Que,CASUAL DINING,,,111 Richmond St. West,BBQ,30.0,Downtown Yonge
230,Coffee Court,QUICK BITES,,,60 Queen Street West,Cafe,10.0,Downtown Yonge
231,Nutbar,CAFÉ,,,111 Richmond St W,Cafe,30.0,Downtown Yonge
232,Colibri,CASUAL DINING,,,111 Richmond St W,Mexican,45.0,Downtown Yonge
233,Hero Certified Burgers,FAST CASUAL,,,100 Queen Street West,Fast Food,15.0,Downtown Yonge
234,Pizza Nova,QUICK BITES,,,977 Bay Street,Fast Food,30.0,Downtown Yonge
235,Six O Five,BAR,,,605 Yonge Street,Bar Food,,Downtown Yonge
236,Habitant,CASUAL DINING,,,260 Yonge Street,American,45.0,Downtown Yonge
237,Oh My Gyro,QUICK BITES,,,155 John Street,Fast Food,15.0,Downtown Yonge
238,Salus Fresh Foods Inc.,QUICK BITES,,,25 Carlton Street,Healthy Food,20.0,Downtown Yonge
239,Thai Fantasy,CASUAL DINING,,,578 Yonge Street,Thai,35.0,Downtown Yonge
240,King Shisha Lounge,CAFÉ,,,112 Dundas St W,Cafe,25.0,Downtown Yonge
241,Bar Reyna,CASUAL DINING,,,111 Richmond St W,Mediterranean,30.0,Downtown Yonge
242,Tim Hortons,CAFÉ,,,218 Yonge Street,Cafe,20.0,Downtown Yonge
243,Second Cup Coffee Co. featuring Pinkberry Frozen Yogurt,Other,,,1000 Bay Street Unit 101,Coffee and Cafe,15.0,Downtown Yonge
244,Shish Kebab,CASUAL DINING,,,Opening Soon,Middle Eastern,40.0,Downtown Yonge
245,Zeytouna,CASUAL DINING,,,10 Dundas Street E,Mediterranean,25.0,Downtown Yonge
246,Druxy's Famous Deli,QUICK BITES,,,777 Bay St,American,25.0,Downtown Yonge
247,Holy Chuck,QUICK BITES,,,586 Yonge Street,American,15.0,Downtown Yonge
248,Mövenpick Cafe,CAFÉ,,,42 Yonge Street,Cafe,20.0,Downtown Yonge
249,Gogi Bap,QUICK BITES,,,946 Yonge St,Korean,20.0,Downtown Yonge
250,Tsujiri Patisserie,BAKERY,,,596 Yonge Street,Japanese,20.0,Downtown Yonge
251,DaiLo,CASUAL DINING,,,111 Richmond St W,Asian,70.0,Downtown Yonge
252,Little Khao,CASUAL DINING,,,111 Richmond St W,Thai,15.0,Downtown Yonge
253,Pai,CASUAL DINING,4.9,615.0,18 Duncan Street,Thai,50.0,Entertainment District
254,Momofuku Noodle Bar,CASUAL DINING,3.3,542.0,190 University Avenue,Japanese,60.0,Entertainment District
